"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MRF","EQ","03-Sep-2019","      58590.05","      58598.30","      58649.85","      57519.85","      57600.00","      57801.55","      58112.76","       3399","           197525270.80","       2248","        463","         13.62"
"MRF","EQ","04-Sep-2019","      57801.55","      57801.55","      58188.90","      57495.05","      57650.00","      57691.20","      57747.66","       3013","           173993700.80","       1903","        448","         14.87"
"MRF","EQ","05-Sep-2019","      57691.20","      57880.00","      58260.00","      57583.60","      57613.15","      57722.45","      57871.94","       2103","           121704680.85","       1420","        467","         22.21"
"MRF","EQ","06-Sep-2019","      57722.45","      58080.00","      58980.00","      57900.10","      58900.00","      58754.30","      58410.11","       2892","           168922030.55","       2069","        761","         26.31"
"MRF","EQ","09-Sep-2019","      58754.30","      58802.00","      59200.00","      58333.00","      59100.00","      58869.10","      58755.00","       2887","           169625691.95","       1753","        897","         31.07"
"MRF","EQ","11-Sep-2019","      58869.10","      58950.00","      60280.00","      58875.05","      60000.00","      60101.95","      59907.92","       6205","           371728635.95","       4080","       1673","         26.96"
"MRF","EQ","12-Sep-2019","      60101.95","      60256.00","      61109.95","      60000.00","      60750.00","      60658.90","      60527.51","       7908","           478651533.25","       4247","       3174","         40.14"
"MRF","EQ","13-Sep-2019","      60658.90","      60754.00","      60996.70","      59760.05","      59991.70","      60119.95","      60334.25","       7070","           426563144.60","       4414","       1684","         23.82"
"MRF","EQ","16-Sep-2019","      60119.95","      59799.00","      59980.00","      59300.05","      59400.05","      59461.50","      59596.13","       2897","           172649992.70","       1924","        502","         17.33"
"MRF","EQ","17-Sep-2019","      59461.50","      59650.00","      59993.65","      57550.00","      57920.00","      57852.40","      58618.50","       5455","           319763896.20","       3781","       1095","         20.07"
"MRF","EQ","18-Sep-2019","      57852.40","      58699.00","      58699.00","      58000.00","      58212.05","      58364.55","      58263.45","       4374","           254844337.25","       2605","       1303","         29.79"
"MRF","EQ","19-Sep-2019","      58364.55","      58213.00","      58400.00","      57890.95","      58127.00","      58069.15","      58127.55","       2409","           140029256.45","       1546","        505","         20.96"
"MRF","EQ","20-Sep-2019","      58069.15","      58380.00","      65850.00","      58069.15","      64900.00","      64642.90","      62591.71","      25477","          1594649114.20","      17411","       9887","         38.81"
"MRF","EQ","23-Sep-2019","      64642.90","      64900.00","      67467.00","      64900.00","      66250.20","      66180.25","      66315.13","      16170","          1072315652.50","      10706","       4341","         26.85"
"MRF","EQ","24-Sep-2019","      66180.25","      66749.00","      67227.55","      65691.30","      65759.00","      65879.55","      66330.12","       8452","           560622181.15","       4930","       2563","         30.32"
"MRF","EQ","25-Sep-2019","      65879.55","      65522.00","      65990.00","      64200.00","      64399.95","      64499.50","      64970.67","       6021","           391188411.75","       4216","       1851","         30.74"
"MRF","EQ","26-Sep-2019","      64499.50","      64499.50","      65420.00","      62150.00","      62301.00","      62859.60","      63308.23","      20476","          1296299411.40","       9978","      11149","         54.45"
"MRF","EQ","27-Sep-2019","      62859.60","      62859.60","      63875.85","      62286.75","      62465.00","      62674.55","      63116.72","       7538","           475773801.90","       5310","       1826","         24.22"
"MRF","EQ","30-Sep-2019","      62674.55","      62959.00","      63449.90","      62470.00","      63251.55","      63291.55","      62945.07","       4885","           307486682.65","       3476","       1105","         22.62"
"MRF","EQ","01-Oct-2019","      63291.55","      63299.00","      63949.00","      60768.95","      61753.50","      61863.40","      62272.36","       9209","           573466131.05","       5855","       2325","         25.25"
"MRF","EQ","03-Oct-2019","      61863.40","      61863.40","      62065.00","      61200.00","      61350.00","      61471.05","      61628.38","       5960","           367305136.60","       3492","       1518","         25.47"
"MRF","EQ","04-Oct-2019","      61471.05","      61980.00","      61980.00","      60515.90","      60831.00","      60938.35","      61468.11","       4320","           265542248.20","       2900","       1070","         24.77"
"MRF","EQ","07-Oct-2019","      60938.35","      60989.00","      61559.00","      60600.00","      61250.00","      61165.10","      61245.69","       3561","           218095898.90","       2581","        750","         21.06"
"MRF","EQ","09-Oct-2019","      61165.10","      61250.50","      61500.90","      60283.55","      61099.90","      61186.10","      60952.23","       6263","           381743789.95","       4050","       1848","         29.51"
"MRF","EQ","10-Oct-2019","      61186.10","      61200.00","      61389.00","      60736.85","      61100.00","      61174.00","      61090.94","       3047","           186144089.50","       1754","        954","         31.31"
"MRF","EQ","11-Oct-2019","      61174.00","      61250.00","      61887.55","      61050.00","      61630.00","      61722.70","      61552.41","       4974","           306161680.55","       3100","       1940","         39.00"
"MRF","EQ","14-Oct-2019","      61722.70","      61723.00","      62717.55","      61641.35","      62165.40","      61996.65","      62276.05","       4294","           267413343.80","       2638","       1203","         28.02"
"MRF","EQ","15-Oct-2019","      61996.65","      62150.00","      63297.90","      61772.00","      63289.90","      63027.50","      62473.55","       4999","           312305296.55","       3064","       1782","         35.65"
"MRF","EQ","16-Oct-2019","      63027.50","      63030.00","      63615.95","      62629.45","      62841.80","      62896.90","      63190.09","       3660","           231275718.00","       2654","        662","         18.09"
"MRF","EQ","17-Oct-2019","      62896.90","      62896.00","      65711.60","      62656.00","      65465.40","      64901.90","      64345.38","       7039","           452927156.80","       3806","       3111","         44.20"
"MRF","EQ","18-Oct-2019","      64901.90","      64900.00","      65086.95","      63800.00","      64100.00","      64019.75","      64349.26","       4473","           287834253.05","       2889","        789","         17.64"
"MRF","EQ","22-Oct-2019","      64019.75","      64394.95","      64749.90","      64030.05","      64295.00","      64211.30","      64311.72","       3206","           206183372.30","       2071","        775","         24.17"
